base,offset,p,q,value,flip_to
0x3f23000,1088,0x3f00000,0x3f44000,0xbf,0
0x3f23000,3642,0x3f00000,0x3f44000,0x80,1
0x3f20000,560,0x3f02000,0x3f46000,0x1,1
0x3f20000,1761,0x3f02000,0x3f47000,0xfd,0
0x3f20000,2715,0x3f02000,0x3f47000,0xfd,0
0x3f20000,560,0x3f03000,0x3f46000,0x1,1
0x3f20000,2715,0x3f03000,0x3f47000,0xfd,0
0x3f20000,560,0x3f03000,0x3f47000,0x1,1
0x3f2b000,3978,0x3f09000,0x3f4d000,0xfb,0
0x3f3f000,2722,0x3f1c000,0x3f58000,0x7f,0
0x3f98000,3112,0x3f77000,0x3fba000,0xfe,0
0x3f98000,3112,0x3f77000,0x3fbb000,0xfe,0
0x3fa3000,538,0x3f80000,0x3fc4000,0xdf,0
0x3fb9000,3913,0x3f9b000,0x3fde000,0x4,1
0x4022000,618,0x4000000,0x4044000,0xf7,0
0x4022000,1336,0x4000000,0x4044000,0xef,0
0x4022000,2954,0x4000000,0x4044000,0xf7,0
0x4023000,2458,0x4000000,0x4044000,0xfd,0
0x4022000,768,0x4000000,0x4044000,0x80,1
0x4020000,803,0x4003000,0x4047000,0xf7,0
0x4020000,1058,0x4003000,0x4047000,0x4,1
0x4024000,825,0x4006000,0x4043000,0xef,0
0x403b000,2210,0x4019000,0x405c000,0xfe,0
0x403a000,2042,0x4019000,0x405c000,0x40,1
0x403b000,2210,0x4019000,0x405d000,0xfe,0
0x403a000,2042,0x4019000,0x405d000,0x40,1
0x4046000,1482,0x4020000,0x4064000,0xfe,0
0x4047000,3932,0x4020000,0x4064000,0x7f,0
0x4047000,2314,0x4020000,0x4064000,0x8,1
0x4046000,1482,0x4020000,0x4065000,0xfe,0
0x4062000,480,0x4040000,0x408c000,0xef,0
0x4062000,480,0x4040000,0x408d000,0xef,0
0x4062000,480,0x4041000,0x408c000,0xef,0
0x409e000,1080,0x4070000,0x40bd000,0xdf,0
0x409f000,2328,0x4070000,0x40bd000,0xfe,0
0x409e000,856,0x4070000,0x40bd000,0x8,1
0x40af000,8,0x408d000,0x40c9000,0xef,0
0x40ae000,2984,0x408d000,0x40c9000,0x40,1
0x40c6000,3561,0x40a0000,0x40e4000,0xef,0
0x40d8000,2840,0x40bf000,0x40fb000,0x7f,0
0x40d8000,1019,0x40bf000,0x40fb000,0x2,1
0x40d8000,4010,0x40bf000,0x40fb000,0x8,1
0x412b000,3833,0x4108000,0x414c000,0xfb,0
0x4162000,1050,0x4140000,0x418c000,0xf7,0
0x4168000,1529,0x414a000,0x4187000,0xdf,0
0x4168000,1529,0x414b000,0x4186000,0xdf,0
0x4168000,1512,0x414b000,0x4186000,0x40,1
0x4170000,433,0x4152000,0x419f000,0x80,1
0x4175000,3242,0x4156000,0x419b000,0xbf,0
0x417d000,170,0x415e000,0x4193000,0xdf,0
0x4188000,2564,0x4166000,0x41aa000,0x40,1
0x41ba000,4056,0x4198000,0x41dc000,0xef,0
0x41bb000,3204,0x4198000,0x41dc000,0xfd,0
0x41d8000,2645,0x41bf000,0x41fa000,0xdf,0
0x41d8000,3000,0x41bf000,0x41fa000,0xfe,0
0x41d8000,3000,0x41bf000,0x41fb000,0xfe,0
0x41eb000,2122,0x41c8000,0x4214000,0xbf,0
0x41ea000,650,0x41c8000,0x4214000,0x80,1
0x41fe000,738,0x41dd000,0x4201000,0x20,1
0x4246000,3272,0x4220000,0x4264000,0xfe,0
0x4247000,1713,0x4220000,0x4264000,0xfe,0
0x4247000,2065,0x4220000,0x4264000,0x10,1
0x4247000,1713,0x4220000,0x4265000,0xfe,0
0x4245000,3848,0x4222000,0x4267000,0xfe,0
0x4249000,3634,0x422f000,0x426b000,0x20,1
0x4256000,2656,0x4230000,0x4274000,0xdf,0
0x4256000,2674,0x4230000,0x4274000,0xfb,0
0x4256000,2386,0x4230000,0x4274000,0x40,1
0x4256000,2832,0x4230000,0x4274000,0x2,1
0x4256000,2656,0x4230000,0x4275000,0xdf,0
0x4256000,2674,0x4230000,0x4275000,0xfb,0
0x4256000,2386,0x4230000,0x4275000,0x40,1
0x4256000,2832,0x4230000,0x4275000,0x2,1
0x4256000,2656,0x4231000,0x4274000,0xdf,0
0x4257000,2473,0x4231000,0x4274000,0x2,1
0x425f000,3186,0x4238000,0x427d000,0xfd,0
0x426b000,3281,0x4249000,0x4285000,0xdf,0
0x428f000,392,0x4260000,0x42ac000,0xf7,0
0x428a000,2520,0x4264000,0x42a9000,0xfb,0
0x428b000,1280,0x4264000,0x42a9000,0x7f,0
0x4284000,680,0x426b000,0x42a6000,0xbf,0
0x4285000,3218,0x426b000,0x42a6000,0x1,1
0x4284000,680,0x426b000,0x42a7000,0xbf,0
0x4285000,3218,0x426b000,0x42a7000,0x1,1
0x429c000,1400,0x4272000,0x42bf000,0x7f,0
0x42b0000,3194,0x4292000,0x42d7000,0x8,1
0x42b8000,2576,0x429a000,0x42de000,0xef,0
0x42b9000,2841,0x429a000,0x42de000,0x20,1
0x42b8000,2576,0x429a000,0x42df000,0xef,0
0x42b9000,1904,0x429a000,0x42df000,0xf7,0
0x42b8000,562,0x429a000,0x42df000,0x20,1
0x42b8000,3680,0x429a000,0x42df000,0x80,1
0x42b9000,2184,0x429a000,0x42df000,0x4,1
0x42b9000,3472,0x429a000,0x42df000,0x80,1
0x42b8000,2146,0x429b000,0x42de000,0xf7,0
0x42b8000,2576,0x429b000,0x42de000,0xef,0
0x42b9000,1904,0x429b000,0x42de000,0xf7,0
0x42b8000,562,0x429b000,0x42de000,0x20,1
0x42b8000,3680,0x429b000,0x42de000,0x80,1
0x42b9000,2184,0x429b000,0x42de000,0x4,1
0x42b9000,3472,0x429b000,0x42de000,0x80,1
0x42b8000,2576,0x429b000,0x42df000,0xef,0
0x42b9000,2184,0x429b000,0x42df000,0x4,1
0x42b9000,2841,0x429b000,0x42df000,0x20,1
0x42dc000,1890,0x42ba000,0x42fe000,0xdf,0
0x42ff000,2880,0x42dc000,0x4301000,0x80,1
0x4384000,3746,0x436a000,0x43a6000,0xbf,0
0x439d000,3488,0x4372000,0x43be000,0xdf,0
0x439c000,1642,0x4372000,0x43be000,0x8,1
0x439d000,3080,0x4372000,0x43be000,0x10,1
0x439d000,660,0x4372000,0x43bf000,0x7f,0
0x439d000,3488,0x4372000,0x43bf000,0xdf,0
0x439c000,1642,0x4372000,0x43bf000,0x8,1
0x4398000,3420,0x4376000,0x43bb000,0xfb,0
0x4398000,3420,0x4377000,0x43bb000,0xfb,0
0x43de000,2090,0x43b8000,0x43fc000,0x7f,0
0x43de000,201,0x43b8000,0x43fc000,0x10,1
0x43de000,412,0x43b8000,0x43fd000,0x7f,0
0x4401000,1801,0x43ff000,0x4422000,0x7f,0
0x4422000,704,0x4400000,0x4444000,0xef,0
0x4423000,3968,0x4400000,0x4444000,0xbf,0
0x4427000,2296,0x4405000,0x4440000,0x20,1
0x442b000,2545,0x4409000,0x444c000,0x8,1
0x4446000,3073,0x4420000,0x4464000,0x7f,0
0x4447000,3721,0x4420000,0x4464000,0xfe,0
0x4446000,2752,0x4421000,0x4464000,0xfb,0
0x4445000,2568,0x4422000,0x4466000,0x8,1
0x4444000,2440,0x4422000,0x4467000,0xdf,0
0x4444000,953,0x4422000,0x4467000,0x10,1
0x4445000,2568,0x4422000,0x4467000,0x8,1
0x4440000,1840,0x4426000,0x4462000,0x2,1
0x4440000,2512,0x4426000,0x4463000,0xfe,0
0x4456000,3650,0x4431000,0x4474000,0x40,1
0x4457000,3978,0x4431000,0x4474000,0x2,1
0x445a000,323,0x443c000,0x4478000,0xef,0
0x4462000,3107,0x4440000,0x448c000,0xfd,0
0x4488000,1793,0x4466000,0x44ab000,0xfb,0
0x4488000,1793,0x4467000,0x44ab000,0xfb,0
0x4484000,2914,0x446b000,0x44a7000,0xfd,0
0x4482000,3810,0x446c000,0x44a1000,0xf7,0
0x44ce000,3353,0x44a8000,0x44ed000,0xfe,0
0x44d0000,1570,0x44b6000,0x44f2000,0xfd,0
0x44d0000,1570,0x44b7000,0x44f3000,0xfd,0
0x44ee000,3496,0x44cc000,0x4510000,0xef,0
0x44ef000,2456,0x44cd000,0x4511000,0xbf,0
0x44ed000,744,0x44cf000,0x4512000,0xf7,0
0x4510000,2833,0x44ee000,0x4533000,0xdf,0
0x4546000,2544,0x4520000,0x4564000,0x7f,0
0x4546000,1560,0x4520000,0x4565000,0x8,1
0x4546000,2246,0x4520000,0x4565000,0x40,1
0x4547000,1456,0x4520000,0x4565000,0x40,1
0x4542000,1104,0x4525000,0x4560000,0x7f,0
0x4542000,1648,0x4525000,0x4560000,0x10,1
0x4542000,3672,0x4525000,0x4560000,0x2,1
0x4543000,3112,0x4525000,0x4560000,0x40,1
0x4542000,3238,0x4525000,0x4561000,0x7f,0
0x4543000,824,0x4525000,0x4561000,0xdf,0
0x4543000,2896,0x4525000,0x4561000,0xdf,0
0x4542000,1577,0x4525000,0x4561000,0x10,1
0x4542000,3145,0x4525000,0x4561000,0x2,1
0x4562000,2168,0x4541000,0x458d000,0xef,0
0x4564000,2497,0x4547000,0x458b000,0x4,1
0x4576000,298,0x4554000,0x4599000,0xfd,0
0x4575000,1160,0x4556000,0x459a000,0xef,0
0x4574000,376,0x4556000,0x459a000,0x80,1
0x4575000,1160,0x4556000,0x459b000,0xef,0
0x45a2000,3962,0x4581000,0x45c5000,0x7f,0
0x45a3000,482,0x4581000,0x45c5000,0x10,1
0x45a9000,75,0x458a000,0x45ce000,0xf7,0
0x45a8000,3552,0x458a000,0x45ce000,0x20,1
0x45a8000,4016,0x458a000,0x45cf000,0xbf,0
0x45a9000,75,0x458a000,0x45cf000,0xf7,0
0x45d8000,553,0x45be000,0x45fb000,0x40,1
0x45f8000,1001,0x45da000,0x4607000,0xbf,0
0x45fc000,2660,0x45de000,0x4603000,0xf7,0
0x4612000,513,0x45ed000,0x4631000,0x8,1
0x4611000,2458,0x45ee000,0x4632000,0x7f,0
0x4607000,3441,0x45f8000,0x4625000,0x10,1
0x4622000,2208,0x4600000,0x4644000,0xbf,0
0x4623000,1000,0x4600000,0x4644000,0x1,1
0x4623000,1488,0x4600000,0x4644000,0x20,1
0x4622000,1200,0x4600000,0x4645000,0xf7,0
0x4623000,3690,0x4600000,0x4645000,0xbf,0
0x4634000,3745,0x4617000,0x4653000,0xfd,0
0x463c000,2753,0x461f000,0x465b000,0x2,1
0x4647000,3237,0x4621000,0x4665000,0xfb,0
0x4647000,657,0x4621000,0x4665000,0x8,1
0x4645000,1044,0x4622000,0x4666000,0xdf,0
0x4652000,1088,0x4634000,0x4671000,0x7f,0
0x4650000,3193,0x4636000,0x4672000,0xdf,0
0x4662000,2512,0x4640000,0x468c000,0xbf,0
0x4667000,4024,0x4644000,0x4688000,0xbf,0
0x4666000,1360,0x4644000,0x4688000,0x80,1
0x4667000,3978,0x4644000,0x4688000,0x20,1
0x4666000,3800,0x4644000,0x4689000,0xf7,0
0x4667000,2881,0x4644000,0x4689000,0xfd,0
0x4667000,4024,0x4644000,0x4689000,0xbf,0
0x4667000,3978,0x4644000,0x4689000,0x20,1
0x4664000,3737,0x4647000,0x468a000,0xfd,0
0x4665000,800,0x4647000,0x468a000,0x1,1
0x4664000,3737,0x4647000,0x468b000,0xfd,0
0x4665000,3132,0x4647000,0x468b000,0xf7,0
0x4665000,466,0x4647000,0x468b000,0x20,1
0x4665000,800,0x4647000,0x468b000,0x1,1
0x466f000,2226,0x464d000,0x4681000,0x40,1
0x466c000,3216,0x464f000,0x4682000,0x8,1
