base,offset,p,q,value,flip_to,flips_page,flips_row
0x2575000,2716,0x2556000,0x259b000,0xfd,0,2,3
0x2575000,4066,0x2556000,0x259b000,0xfd,0,2,3
0x2574000,2648,0x2557000,0x259a000,0xef,0,1,1
0x2574000,2648,0x2557000,0x259b000,0xef,0,1,1
0x257a000,3458,0x2559000,0x2595000,0xfe,0,1,1
0x257c000,2232,0x255e000,0x2593000,0x10,1,1,1
0x258e000,120,0x2560000,0x25ac000,0xef,0,1,1
0x258e000,120,0x2560000,0x25ad000,0xef,0,1,1
0x259c000,3339,0x2572000,0x25be000,0x10,1,1,1
0x2599000,3305,0x2576000,0x25ba000,0x8,1,1,1
0x2597000,1650,0x2579000,0x25b5000,0xbf,0,1,1
0x25ba000,3025,0x2599000,0x25dc000,0xbf,0,1,1
0x25c6000,1394,0x25a0000,0x25e4000,0xbf,0,1,2
0x25c7000,3738,0x25a0000,0x25e4000,0xfd,0,1,2
0x25cd000,3248,0x25aa000,0x25ef000,0xfb,0,1,1
0x25cd000,600,0x25ab000,0x25ee000,0xdf,0,2,2
0x25cd000,3248,0x25ab000,0x25ee000,0xfb,0,2,2
0x25cd000,3248,0x25ab000,0x25ef000,0xfb,0,1,1
0x25ca000,2752,0x25ac000,0x25e8000,0xfb,0,1,1
0x25ca000,2752,0x25ac000,0x25e9000,0xfb,0,1,1
0x25de000,1146,0x25b9000,0x25fc000,0xfe,0,2,2
0x25de000,2208,0x25b9000,0x25fc000,0x7f,0,2,2
0x25df000,1755,0x25b9000,0x25fd000,0xfe,0,1,1
0x25dd000,159,0x25ba000,0x25ff000,0xdf,0,1,1
0x2647000,2057,0x2620000,0x2664000,0x7f,0,1,1
0x2647000,2057,0x2621000,0x2664000,0x7f,0,2,2
0x2647000,3256,0x2621000,0x2664000,0xdf,0,2,2
0x2647000,2057,0x2621000,0x2665000,0x7f,0,1,1
0x2642000,778,0x2624000,0x2660000,0x2,1,2,3
0x2642000,1432,0x2624000,0x2660000,0x2,1,2,3
0x2643000,3432,0x2624000,0x2660000,0x10,1,1,3
0x2642000,1432,0x2625000,0x2661000,0x2,1,1,1
0x2641000,1746,0x2626000,0x2662000,0xdf,0,1,1
0x2667000,2297,0x2644000,0x2689000,0xfd,0,1,1
0x2664000,3128,0x2646000,0x268b000,0x20,1,1,2
0x2665000,2914,0x2646000,0x268b000,0x80,1,1,2
0x2664000,1800,0x2647000,0x268a000,0xef,0,1,2
0x2665000,1433,0x2647000,0x268a000,0xbf,0,1,2
0x2669000,2226,0x264b000,0x2686000,0xfe,0,1,1
0x2668000,802,0x264b000,0x2687000,0xdf,0,1,2
0x2669000,2226,0x264b000,0x2687000,0xfe,0,1,2
0x268b000,209,0x2665000,0x26a9000,0xfe,0,1,1
0x2689000,2428,0x2666000,0x26aa000,0xdf,0,1,1
0x2689000,2428,0x2666000,0x26ab000,0xdf,0,1,1
0x2689000,2428,0x2667000,0x26aa000,0xdf,0,1,1
0x2689000,2428,0x2667000,0x26ab000,0xdf,0,1,1
0x2684000,2082,0x266b000,0x26a6000,0x4,1,1,1
0x26a8000,2208,0x268a000,0x26ce000,0xef,0,1,2
0x26a9000,48,0x268a000,0x26ce000,0xef,0,1,2
0x26a8000,2208,0x268a000,0x26cf000,0xef,0,1,1
0x26a8000,2208,0x268b000,0x26ce000,0xef,0,1,1
0x26a8000,2208,0x268b000,0x26cf000,0xef,0,1,2
0x26a8000,1073,0x268b000,0x26cf000,0x80,1,1,2
0x26cc000,2480,0x26aa000,0x26ef000,0xfe,0,1,1
0x26cc000,1937,0x26ab000,0x26ee000,0xdf,0,2,2
0x26cc000,2480,0x26ab000,0x26ee000,0xfe,0,2,2
0x26cc000,2480,0x26ab000,0x26ef000,0xfe,0,1,1
0x26ca000,1400,0x26ac000,0x26e8000,0xdf,0,3,5
0x26ca000,1553,0x26ac000,0x26e8000,0xef,0,3,5
0x26ca000,2040,0x26ac000,0x26e8000,0xfb,0,3,5
0x26cb000,1224,0x26ac000,0x26e8000,0xfb,0,2,5
0x26cb000,3872,0x26ac000,0x26e8000,0xfb,0,2,5
0x26ca000,1400,0x26ac000,0x26e9000,0xdf,0,3,5
0x26ca000,1553,0x26ac000,0x26e9000,0xef,0,3,5
0x26ca000,2040,0x26ac000,0x26e9000,0xfb,0,3,5
0x26cb000,1224,0x26ac000,0x26e9000,0xfb,0,2,5
0x26cb000,3872,0x26ac000,0x26e9000,0xfb,0,2,5
0x26ca000,1553,0x26ad000,0x26e8000,0xef,0,1,1
0x26c9000,1696,0x26af000,0x26ea000,0xfb,0,1,1
0x26de000,2660,0x26b8000,0x26fd000,0xfb,0,2,3
0x26de000,3976,0x26b8000,0x26fd000,0xfb,0,2,3
0x26df000,1128,0x26b8000,0x26fd000,0xfe,0,1,3
0x26de000,3976,0x26b9000,0x26fc000,0xfb,0,1,1
0x2706000,3321,0x26f8000,0x2725000,0xfe,0,1,1
0x2704000,2736,0x26fa000,0x2727000,0x8,1,1,2
0x2705000,1961,0x26fa000,0x2727000,0x40,1,1,2
0x2726000,2680,0x2704000,0x2740000,0xf7,0,1,1
0x2726000,2680,0x2704000,0x2741000,0xf7,0,1,1
0x2726000,1538,0x2705000,0x2740000,0xbf,0,2,4
0x2726000,2680,0x2705000,0x2740000,0xf7,0,2,4
0x2727000,793,0x2705000,0x2740000,0xef,0,2,4
0x2727000,2928,0x2705000,0x2740000,0xbf,0,2,4
0x2726000,59,0x2705000,0x2741000,0xef,0,3,3
0x2726000,1538,0x2705000,0x2741000,0xbf,0,3,3
0x2726000,2680,0x2705000,0x2741000,0xf7,0,3,3
0x2725000,1137,0x2706000,0x2742000,0xbf,0,2,2
0x2725000,3312,0x2706000,0x2742000,0xef,0,2,2
0x2725000,1137,0x2706000,0x2743000,0xbf,0,2,2
0x2725000,3312,0x2706000,0x2743000,0xef,0,2,2
0x2725000,1137,0x2707000,0x2742000,0xbf,0,2,2
0x2725000,3312,0x2707000,0x2742000,0xef,0,2,2
0x272a000,1283,0x2709000,0x274d000,0x2,1,1,1
0x2739000,3975,0x271b000,0x275e000,0x7f,0,1,1
0x2741000,3242,0x2726000,0x2762000,0xdf,0,1,1
0x2751000,3272,0x2736000,0x2772000,0x40,1,1,1
0x2750000,3584,0x2736000,0x2773000,0xdf,0,1,1
0x275e000,153,0x2738000,0x277d000,0xef,0,1,1
0x2761000,2297,0x2742000,0x278e000,0xef,0,2,2
0x2761000,3513,0x2742000,0x278e000,0xef,0,2,2
